# ----------------------------------------
# Report CSV Export
# Account: iopa_okw_devops
# Property: okw_map_site
# ----------------------------------------
#  
# Start date: 20240705
# End date: 20241126
Country ID,Active users
AU,1
BE,1
BR,1
CA,2
CL,5
CN,8
CZ,1
DE,4
DK,2
ES,1
ET,2
FR,2
GB,12
GR,1
HK,1
IT,1
KE,1
MX,30
NL,1
PT,2
PY,1
SV,2
TJ,1
UA,1
UG,2
US,1
ZA,8

# Start date: 20240705
# End date: 20241126
Country,Active users
MX,30
GB,12
CN,8
ZA,8
CL,5
DE,4
CA,2

# How are active users trending?
# Start date: 20240705
# End date: 20241126
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,4,4,4
0007,10,10,7
0008,10,10,0
0009,10,10,0
0010,11,11,2
0011,11,11,0
0012,11,11,0
0013,11,9,0
0014,11,2,0
0015,11,2,0
0016,11,2,0
0017,11,0,0
0018,11,0,0
0019,11,0,0
0020,11,0,0
0021,13,2,2
0022,13,2,0
0023,13,2,0
0024,14,3,1
0025,16,5,2
0026,17,6,2
0027,17,6,1
0028,19,7,2
0029,20,8,2
0030,21,9,2
0031,21,8,0
0032,23,8,3
0033,45,30,23
0034,45,30,1
0035,45,28,1
0036,43,27,1
0037,38,27,1
0038,38,27,1
0039,38,25,0
0040,36,3,1
0041,36,3,1
0042,36,3,0
0043,37,4,1
0044,37,3,0
0045,37,3,0
0046,37,3,0
0047,37,3,1
0048,37,2,1
0049,37,2,0
0050,37,1,0
0051,37,2,1
0052,37,2,0
0053,38,3,1
0054,37,3,1
0055,37,5,3
0056,36,5,0
0057,36,5,0
0058,34,4,0
0059,33,4,0
0060,33,4,1
0061,33,4,1
0062,32,2,0
0063,10,2,0
0064,10,3,1
0065,10,3,0
0066,10,3,2
0067,10,4,2
0068,10,4,1
0069,11,5,2
0070,12,6,1
0071,12,6,1
0072,13,7,1
0073,12,7,3
0074,12,6,0
0075,12,6,0
0076,14,7,2
0077,14,6,0
0078,14,5,0
0079,14,5,0
0080,14,2,0
0081,13,3,1
0082,13,3,0
0083,15,4,3
0084,15,4,0
0085,13,4,0
0086,14,5,1
0087,15,6,1
0088,15,6,1
0089,15,6,0
0090,15,3,1
0091,15,3,0
0092,15,3,0
0093,16,3,1
0094,17,4,3
0095,17,4,2
0096,18,5,1
0097,17,5,0
0098,17,5,0
0099,16,5,0
0100,15,4,0
0101,17,6,3
0102,17,4,0
0103,16,4,1
0104,17,5,1
0105,17,5,0
0106,15,5,0
0107,15,5,1
0108,15,3,1
0109,15,3,0
0110,15,3,1
0111,14,2,0
0112,14,2,0
0113,11,2,1
0114,11,2,0
0115,11,1,0
0116,10,2,1
0117,9,2,0
0118,9,2,0
0119,9,2,0
0120,9,1,0
0121,9,2,1
0122,10,3,1
0123,9,3,1
0124,10,5,2
0125,10,5,1
0126,9,5,0
0127,10,6,1
0128,10,5,1
0129,15,9,5
0130,20,13,5
0131,20,14,2
0132,22,15,2
0133,22,15,1
0134,21,15,0
0135,21,14,0
0136,22,10,1
0137,22,5,0
0138,22,4,0
0139,22,2,0
0140,24,3,2
0141,24,3,1
0142,24,3,0
0143,23,2,0
0144,23,2,0

# Where do your new users come from?
# Start date: 20240705
# End date: 20241126
First user source,New users
(direct),78
google,8
l.instagram.com,2
teams.microsoft.com,2
github.com,1
instagram.com,1

#  
# Start date: 20240705
# End date: 20241126
Page title and screen class,Views
Open-Know-Where Initiative,201
Open-Know-Where Initiative Mapping and Data,60
DATA SUBMISSION - Open-Know-Where Initiative,50
DATA SCHEMA SPECIFICATION - Open-Know-Where Initiative,19
mAkE: Map of Machinery - Open-Know-Where Initiative,17
USE CASES OVERVIEW - Open-Know-Where Initiative,12
OKW DATA PRIVACY POLICY - Open-Know-Where Initiative,8
WORKING GROUP - Open-Know-Where Initiative,8
Workshops and talks - Open-Know-Where Initiative,8
DATA SUBMISSION - Open-Know-Where Initiative Mapping and Data,7
Error 404 - Open-Know-Where Initiative,7
Flightmap demo | Antonio Anaya,6
OPEN-KNOW-WHERE (OKW) CHAPTER - Open-Know-Where Initiative,5
Author: Antonio de Jesus Anaya Hernandez - Open-Know-Where Initiative,4
Disaster response Open database - Open-Know-Where Initiative,4
OPEN-KNOW-WHERE INITIATIVE - Open-Know-Where Initiative,2
Author: Antonio de Jesus Anaya Hernandez - Open-Know-Where Initiative Mapping and Data,1
DATA SCHEMA SPECIFICATION - Open-Know-Where Initiative Mapping and Data,1
ENVÍO DE DATOS - Iniciativa Open-Know-Where,1
Iniziativa Open-Know-Where,1
OKW DATA PRIVACY POLICY - Open-Know-Where Initiative Mapping and Data,1
USE CASES OVERVIEW - Open-Know-Where Initiative Mapping and Data,1

#  
# Start date: 20240705
# End date: 20241126
Event name,Event count
page_view,424
user_engagement,267
session_start,227
scroll,191
first_visit,92

#  
# Start date: 20240705
# End date: 20241126
Platform,Active users
"[""Web""]",92
