"name","latitude","longitude"
"University of Alabama","33.213483","-87.542755"
"Bergen County Technical Schools Makerspace","40.902112","-74.034382"
"Bergen Community College Manufacturing Lab","40.95151","-74.088404"
"Boise State University - Albertsons Library MakerLab","43.604091","-116.20335"
"Carnegie Mellon University Hunt Library","40.441123","-79.943753"
"College of San Mateo Makerspace","37.535051","-122.335123"
"Columbia University Output Shop","40.808207","-73.960964"
"Hudson County Community College Library Makerspace","40.730555","-74.062406"
"Københavns Universitet (University of Copenhagen) Innovation Lab","55.697089","12.560828"
"University of Michigan 3D Lab","42.291072","-83.715734"
"University of Nevada, Reno Library","39.543786","-119.815713"
"University of North Carolina at Greensboro SELF Design Studio","36.065757","-79.811418"
"North Carolina State University Hunt Library Makerspace","35.769292","-78.676638"
"Portland Community College MakerSpace","45.436255","-122.730653"
"Rutgers University FabLab","40.486081","-74.436128"
"Seminole Community Library - Innovation Lab","27.85872","-82.796742"
"Southern New Hampshire University Innovation Lab & Makerspace","43.039228","-71.4534"
"Stony Brook University","40.912376","-73.123389"
"SUNY Oswego Penfield Library","43.454218","-76.540843"
"University of Texas at Arlington Fab Lab","32.730101","-97.112242"
"UTArlington FabLab","32.730101","-97.112242"
"Wellesley College Knapp Center","42.29148","-71.306466"
"William Jewell College Pryor Learning Commons","39.248969","-94.411779"
"Aberdeen District Library - Make It at the Library","42.944088","-112.837562"
"Ada Community Library Hidden Springs Branch - Make It at the Library","43.725012","-116.261979"
"Ada Community Library Lake Hazel Branch - Make It at the Library","43.54512","-116.312484"
"Ada Community Library Star Branch - Make It at the Library","43.69259","-116.486962"
"Ada Community Library Victory Branch - Make It at the Library","43.576024","-116.314647"
"Allen County Public Library","41.077078","-85.143137"
"TekVenture","41.076325","-85.143169"
"Anythink Wright Farms - The Studio","39.914569","-104.920755"
"Anythink Brighton - The Studio","39.987099","-104.819147"
"Bear Lake County Library - Make It at the Library","42.318677","-111.30211"
"Beaufort County Library - Creation Station","32.385467","-80.573207"
"Broward County Library - Creation Station","26.120946","-80.142898"
"Buhl Public Library - Make It at the Library","42.600094","-114.761642"
"Burley Public Library - Make It at the Library","42.536429","-113.79624"
"Caldwell Public Library - Make It at the Library","43.661505","-116.688237"
"Carnegie Library of Pittsburgh Main (Oakland) Branch - The Labs","40.443504","-79.949588"
"Carnegie Library of Pittsburgh Allegheny Branch - The Labs","40.456392","-80.006613"
"Carnegie Library of Pittsburgh East Liberty Branch - The Labs","40.460963","-79.926502"
"Chicago Public Library - Maker Lab","41.876178","-87.62826"
"Cleveland Public Library - TechCentral MakerSpace","41.501174","-81.691775"
"Community Library Network Athol Branch - Make It at the Library","47.949685","-116.705903"
"Community Library Network Harrison Branch - Make It at the Library","47.453626","-116.785845"
"Community Library Network Hayden Branch - Make It at the Library","47.747895","-116.787375"
"Community Library Network Pinehurst Branch - Make It at the Library","47.53979","-116.238629"
"Community Library Network Post Falls Branch - Make It at the Library","47.716328","-116.949017"
"Community Library Network Rathdrum Branch - Make It at the Library","47.860745","-116.853032"
"Community Library Network Spirit Lake Branch - Make It at the Library","47.969036","-116.868818"
"DC Public Library - The Labs","38.898648","-77.02463"
"DeMary Memorial Library - Make It at the Library","42.618539","-113.670749"
"Duxbury Free Library","42.046752","-70.68312"
"East Bonner County Library Clark Fork Branch - Make It at the Library","48.14797","-116.176642"
"East Bonner County Library Sandpoint Branch - Make It at the Library","48.275297","-116.568539"
"Fayetteville Free Library","43.025563","-76.006907"
"Free Library of Philadelphia Cecil B Moore Neighborhood Library - MakerJawn","39.980482","-75.17344"
"Free Library of Philadelphia Lillian Marrero Neighborhood Library - Maker Jawn","39.992764","-75.142456"
"Free Library of Philadelphia Widener Neighborhood Library - Maker Jawn","39.996785","-75.177598"
"Free Library of Philadelphia Ramonita de Rodriguez Neighborhood Library - Maker Jawn","39.970145","-75.146818"
"Free Library of Philadelphia Kensington Neighborhood Library - Maker Jawn","39.984736","-75.132613"
"Gooding Public Library","42.940643","-114.715541"
"Harris County Public Library - Clear Lake City-County Freeman Branch","29.558247","-95.119283"
"Innisfil Public Library Lakeshore Branch - ideaLAB","44.314631","-79.548416"
"Jerome Public Library - Make It at the Library","42.725413","-114.518052"
"John F. Germany Public Library - The Hive","27.950868","-82.462354"
"Johnson County Library Gardner Branch","38.811644","-94.925405"
"Johnson County Library Oak Park Branch","38.956203","-94.712376"
"Keene Public Library","42.934083","-72.28099"
"Lomira QuadGraphics Community Library","43.58599","-88.440145"
"Loudoun County Public Library - Gum Spring Branch","38.937533","-77.545641"
"Madison Public Library","43.07352","-89.387566"
"Marshall Public Library - Make It at the Library","42.860316","-112.452505"
"Matteson Public Library","41.512799","-87.725148"
"Meridian District Library Cherry Lane Branch - Make It at the Library","43.619831","-116.40909"
"Meridian District Library Silverstone Branch - Make It at the Library","43.590305","-116.350421"
"Middletown Free Library - CreateSpace","39.913693","-75.439394"
"North Bingham County District Library","43.378253","-112.12452"
"Pasco County Library Land O' Lakes Branch","28.198088","-82.433012"
