0,name,brand,class_1,lab,city,county,country_code
16,ultimaker 2,ultimaker,three_d_printer,la refabrique,Cannes,Provence-Alpes-Cote d'Azur,FR
103,ultimaker 2,ultimaker,three_d_printer,zBis,ST GEORGES DE MONTAIGU,Vendée,FR
104,cameo®,silhouette,vinyl_cutting,zBis,ST GEORGES DE MONTAIGU,Vendée,FR
105,replicator 2x,makerbot industries,three_d_printer,zBis,ST GEORGES DE MONTAIGU,Vendée,FR
106,up! mini,ebpp3dp,three_d_printer,zBis,ST GEORGES DE MONTAIGU,Vendée,FR
107,ultimaker 2,ultimaker,three_d_printer,Laboratoire d'Aix-périmentation et de Bidouille,Aix-en-Provence,,FR
108,gx-24,roland,vinyl_cutting,Laboratoire d'Aix-périmentation et de Bidouille,Aix-en-Provence,,FR
109,mdx-40a,roland,precision_milling,Laboratoire d'Aix-périmentation et de Bidouille,Aix-en-Provence,,FR
110,replicator 2,makerbot industries,three_d_printer,Laboratoire d'Aix-périmentation et de Bidouille,Aix-en-Provence,,FR
118,ultimaker 2,ultimaker,three_d_printer,Les Fabriques du Ponant,brest,,FR
119,speedy 100,trotec,laser,Les Fabriques du Ponant,brest,,FR
120,ultimaker 2,ultimaker,three_d_printer, Fab Lab du 127° ,Bordeaux,,FR
121,mdx-20,roland,precision_milling, Fab Lab du 127° ,Bordeaux,,FR
175,ultimaker 2,ultimaker,three_d_printer,BerryLab36,Châteauroux,,FR
176,speedy 100,trotec,laser,BerryLab36,Châteauroux,,FR
189,ultimaker 2,ultimaker,three_d_printer,Telefab,Plouzane,Bretagne,FR
190,cameo®,silhouette,vinyl_cutting,Telefab,Plouzane,Bretagne,FR
191,rayjet,trotec,laser,Telefab,Plouzane,Bretagne,FR
192,mdx-15,roland,precision_milling,Telefab,Plouzane,Bretagne,FR
278,ultimaker 2,ultimaker,three_d_printer,La Fabritech,Le Cheylard,,FR
279,shopbot gantry,"shopbot tools, inc",cnc_milling,La Fabritech,Le Cheylard,,FR
282,ultimaker 2,ultimaker,three_d_printer,Eco FabLab MDesign,Metz,,FR
283,prusa mendel 1,reprap,three_d_printer,Eco FabLab MDesign,Metz,,FR
284,othermill,other machine co,precision_milling,Eco FabLab MDesign,Metz,,FR
285,up! mini,ebpp3dp,three_d_printer,Eco FabLab MDesign,Metz,,FR
286,rostock,reprap,three_d_printer,Eco FabLab MDesign,Metz,,FR
287,cnc router machine--forsun,heiz,cnc_milling,Eco FabLab MDesign,Metz,,FR
288,shopbot buddy,"shopbot tools, inc",cnc_milling,Eco FabLab MDesign,Metz,,FR
289,spirit ge 30w,laserpro,laser,Eco FabLab MDesign,Metz,,FR
290,ultimaker 2,ultimaker,three_d_printer,Nicéphore Labs,Chalon-sur-Saône,Burgundy,FR
291,mdx-40a,roland,precision_milling,Nicéphore Labs,Chalon-sur-Saône,Burgundy,FR
292,prusa mendel 1,reprap,three_d_printer,Nicéphore Labs,Chalon-sur-Saône,Burgundy,FR
453,kinect v1,microsoft,scanner,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
454,prusa i3,reprap,three_d_printer,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
455,cameo®,silhouette,vinyl_cutting,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
456,replicator 2,makerbot industries,three_d_printer,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
457,k40 laser engraver & cutter,unknown,laser,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
458,cnc 3018 pro,sainsmart,cnc_milling,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
459,ciclop,bq,other,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
460,scalar l,3d modular systems,three_d_printer,Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,,FR
544,kinect v1,microsoft,scanner,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
545,cameo®,silhouette,vinyl_cutting,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
546,k40 laser engraver & cutter,unknown,laser,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
547,bq hephestos i3,bq,three_d_printer,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
548,micro delta,emotion tech,three_d_printer,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
549,ciclop,bq,other,FabLab 276 Val-de-Reuil,Val-de-Reuil,Normandie,FR
695,kinect v1,microsoft,scanner,GraouLab,Metz,,FR
696,prusa mendel 1,reprap,three_d_printer,GraouLab,Metz,,FR
697,othermill,other machine co,precision_milling,GraouLab,Metz,,FR
710,kinect v1,microsoft,scanner,SquaregoLab,Perpignan,,FR
711,srm-20 monofab,roland,precision_milling,SquaregoLab,Perpignan,,FR
712,camm-1 gs-24,roland,vinyl_cutting,SquaregoLab,Perpignan,,FR
713,tec cam 1000,perez camps,cnc_milling,SquaregoLab,Perpignan,,FR
766,kinect v1,microsoft,scanner,Fablab du Chalonnais,Chalon-sur-Saône,,FR
767,sense 3d scanner,"3d systems, inc",scanner,Fablab du Chalonnais,Chalon-sur-Saône,,FR
768,cameo 3,silhouette,vinyl_cutting,Fablab du Chalonnais,Chalon-sur-Saône,,FR
769,kinect v2 3d scanner,microsoft,scanner,Fablab du Chalonnais,Chalon-sur-Saône,,FR
770,witbox 2,bq,three_d_printer,Fablab du Chalonnais,Chalon-sur-Saône,,FR
825,prusa i3,reprap,three_d_printer,Fab Lab Egypt,Cairo,Cairo,EG
826,mdx-20,roland,precision_milling,Fab Lab Egypt,Cairo,Cairo,EG
827,replicator 2,makerbot industries,three_d_printer,Fab Lab Egypt,Cairo,Cairo,EG
828,up! mini,ebpp3dp,three_d_printer,Fab Lab Egypt,Cairo,Cairo,EG
829,morn mt3050d,morn,laser,Fab Lab Egypt,Cairo,Cairo,EG
851,prusa i3,reprap,three_d_printer,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
852,ultimaker 2+,ultimaker,three_d_printer,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
853,cnc routing,homemade cnc router,cnc_milling,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
854,kh-750,kehui,laser,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
855,ciclop,bq,other,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
856,innovis 15,brother,other,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
857,hx-1360,rabbit,vinyl_cutting,Fab Lab Sud31-Val d'Ariège,Cintegabelle,,FR
873,prusa i3,reprap,three_d_printer,Info@Leze,Lagardelle-sur-Lèze,,FR
874,ultimaker 2+,ultimaker,three_d_printer,Info@Leze,Lagardelle-sur-Lèze,,FR
875,cameo 3,silhouette,vinyl_cutting,Info@Leze,Lagardelle-sur-Lèze,,FR
876,redsail x900 100w lasercut,redsail,laser,Info@Leze,Lagardelle-sur-Lèze,,FR
877,innov'is m280d,brother,other,Info@Leze,Lagardelle-sur-Lèze,,FR
904,prusa i3,reprap,three_d_printer,ACoLab,Clermont-Ferrand,,FR
905,cnc routing,homemade cnc router,cnc_milling,ACoLab,Clermont-Ferrand,,FR
906,othermill,other machine co,precision_milling,ACoLab,Clermont-Ferrand,,FR
907,prusa i3,reprap,three_d_printer,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
908,shopbot gantry,"shopbot tools, inc",cnc_milling,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
909,speedy 100,trotec,laser,Fab Lab - La Casemate,Grenoble,Rhone-Alpes,FR
919,prusa i3,reprap,three_d_printer,DeVinci Fablab,Courbevoie,,FR
920,cr10s5,creality,three_d_printer,DeVinci Fablab,Courbevoie,,FR
921,raise 3d n2 plas,raise 3d,three_d_printer,DeVinci Fablab,Courbevoie,,FR
922,mini,original prusa,three_d_printer,DeVinci Fablab,Courbevoie,,FR
923,raise 3d n1,raise 3d,three_d_printer,DeVinci Fablab,Courbevoie,,FR
932,prusa i3,reprap,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
933,shopbot gantry,"shopbot tools, inc",cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
934,mdx-40a,roland,precision_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
935,ultimaker 3,ultimaker,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
936,form2,formlabs,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
937,camm-1 gs-24,roland,vinyl_cutting,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
938,cnc routing,homemade cnc router,cnc_milling,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
939,ultimaker 3 extended,ultimaker,three_d_printer,FABLAB UPSACLAY ,Gif-sur-Yvette,,FR
