name,address_1,address_2,city,county,postal_code,address_notes,phone,email,capabilities
8 FabLab Dr�me,8 rue courre-comm�re,,Crest,Dr�me,26400,,475551478,contact@8fablab.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
ACoLab,122 Bd Cl�mentel,,Clermont-Ferrand,,63000,"Ancienne adresse, 2bis rue du Clos Perret,  63000 Clermont-Ferrand

Adresse 'historique' (2013/Mai2015), chez les Petits D�brouillards d'Auvergne : 32 Rue du Pont Naturel, 63000 Clermont-Ferrand
Il faut traverser la petite place entre les immeubles et descendre quelques marches.

",123456789,contact@acolab.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
AgriLab,AgriLab,lat 49.4668 long 2.07255,Beauvais,Oise,60000,"lat 49.4668 long 2.07255
You will find us in a GPS (or Google Map) with the name ""AgriLab UniLaSalle""",33344062501,agrilab@unilasalle.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Albilab,8 Avenue Pierre-Gilles de Gennes,,Albi,,81000,"Pour acc�der au FabLab, il faut se diriger vers le parking d'Innoprod, derri�re le b�timent. Albilab se situe au fond.",630895657,asso.acne@gmail.com,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Antibes NavLab,Antibes,3 Boulevard Wilson,Antibes,Provence-Alpes-C�te d'Azur,6600,First floor (above the flower shop !),33972472768,fablab@navlab.fr,[]
Arize leze Lab,ZA  Peyjouan,,L�zat sur leze,,9210,,+33 5 32 11 13 44,arizeleze-fablab@orange.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Artilect FabLab Toulouse,10 Rue Tripi�re,,Toulouse,Midi-Pyr�n�es,31000,M�tro Capitole (Ligne A) | M�tro Esquirol (Ligne A) | M�tro Crames(Ligne B),609031823,contact@artilect.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
"AsTech, le Fablab de LyonTech-la Doua",28-30 Avenue gaston berger,,Villeurbanne,69-Rh�ne,69100,"La porte est derri�re le b�timent, The door is behind the building",,contact@astech-fablab.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling']"
Atallier - Fablab Moulins,43 Cours de Bercy,,Moulins,,3000,,+33 684 690 553,contact@atallier.fr,"['three_d_printing', 'laser']"
Atallier Fablab Moulins,40 Cours de Bercy,,Moulins,France,3000,,+33 9 62 59 93 47 ,contact@atallier.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
Atelier Made in iKi - FabLab Bresse du Jura,Commenailles,"5, Place du General Michelin",Commenailles,,39140,"au niveau du carrefour principal, b�timent RIDET, � cot� de l'ancienne garderie",07 68 50 67 39,contact@madeiniki.org,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Avilab // Fablab Avignon,14 TER impasse Lescure,,Avignon,France,84000,"Bikes : inside of the Fablab, you're welcome ! 
Don't park close to the neighbors doors. ",33783317431,contact@avilab.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
BATI-FABLAB Toulon,"Batifablab Toulon, Chemin du Pouverel, Zac des Bousquets",,CUERS,VAR,83390,,+33 (0)4 94 14 12 40,contact@bati-fablab.fr,['three_d_printing']
CAPLAB07,10 Boulevard de Lancelot,,Privas,Ardeche,7000,,630202411,contact@caplab07.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
CULTURE NUMERIQUE,32 rue Gaston GRINBAUM ,,Vigneux-sur-Seine,Essonne,91270,Access is by the blue gate near the Gymnase des Bergeries,660212584,contact@culture-numerique.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Camion Num�rique,Vaucluse,,Carpentras,,84200,mobile fablab... so everywere in south of France,485880322,contact@letierslieudecarpentras.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
