id,model,brand,type,sub_type_1,info,x_travel,y_travel,z_travel,working,approved,lab,qty,facility,latitude,longitude
1,ender 3,creality,3d_printer,fdm,None,220mm,220mm,250mm,TRUE,TRUE,1,3,DTI Makerspace,5.652746,-0.163267
2,X-Maker,qidi,3d_printer,fdm,None,150mm,160mm,170mm,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
3,MA-10 Mini ,malyan,3d_printer,fdm,None,200mm,200mm,200mm,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
4,s100,malyan,3d_printer,sla,None,118mm,65mm,110mm,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
5,laser engraving,None,laser,engraver,"Metal,wood and acrylic cutting and engraving, 1630mm x 1150mm x 800mm",None,None,None,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
6,cnc lathe,noka,cnc,lathe,"Metal and wood lathing, 762mm x 508mm x 381 mm",None,None,None,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
7,cnc milling,noka,cnc,milling,"Metal and wood Milling,  482.6 x 304.8 x 228.6 mm",177.8 mm,101.6 mm,50.8 mm,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
8,Press Brake WC67K/Y,noka,cnc,metal_sheet_bending,3200mm x 2000mm x 26500mm,355.6 mm,152.4 mm,152.4 mm,TRUE,TRUE,1,1,DTI Makerspace,5.652746,-0.163267
9,i3 mk3,prusa,3d_printer,fdm,None,9.8in,8.3in,8.3in,TRUE,TRUE,2,3,FabLab Winam,-0.139594,34.795725
10,laser cutter,None,laser,cutter,None,None,None,None,TRUE,TRUE,2,1,FabLab Winam,-0.139594,34.795725
11,srm 20,roland,cnc,milling,None,None,None,None,TRUE,TRUE,2,1,FabLab Winam,-0.139594,34.795725
12,vinyl cutter,roland,vinyl,cutter,vinyl,None,None,None,TRUE,TRUE,2,1,FabLab Winam,-0.139594,34.795725
13,3d wax printer,None,3d_printer,wax,None,None,None,None,TRUE,TRUE,2,1,FabLab Winam,-0.139594,34.795725
14,router,None,cnc,router,None,None,None,None,TRUE,TRUE,2,1,FabLab Winam,-0.139594,34.795725
15,CR-10S,creality,3d_printer,fdm,"Standard 0.4mm Nozzle Dia, 60mm/s  Max：100mm/s Print speed, 1.75mm Filament Diameter",300mm,300mm,400mm,TRUE,TRUE,3,2,IOME254,-2.193901,40.817695
16,mk3,prusa,3d_printer,fdm,None,9.8in,8.3in,8.3in,TRUE,TRUE,3,1,IOME254,-2.193901,40.817695
17,Mini24 Engraver,Epilog,laser,engraver,"40Watt CO2 Laser with a  24"" x 12"" Vector Grit. ",24in,12in,None,TRUE,TRUE,3,1,IOME254,-2.193901,40.817695
18,CNC Wood Router,None,cnc,router,"1200 (X) * 2400 (Y) * 125 (Z) mm Bed Size, Mach3 Control",1200mm,2400mm,125mm,TRUE,TRUE,3,1,IOME254,-2.193901,40.817695
19, CNC Plasma Cutter,None,cnc,plasma,"Powermax45XP, Mach3 Control",None,None,None,TRUE,TRUE,3,1,IOME254,-2.193901,40.817695
